Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Year,SSP245_CMR5_2025,SSP245_CMR5_2026,SSP245_CMR5_2027,SSP245_CMR5_2028,SSP245_CMR5_2029,SSP245_CMR5_2030,SSP245_CMR5_2031,SSP245_CMR5_2032,SSP245_CMR5_2033,SSP245_CMR5_2034,SSP245_ECE3_2025,SSP245_ECE3_2026,SSP245_ECE3_2027,SSP245_ECE3_2028,SSP245_ECE3_2029,SSP245_ECE3_2030,SSP245_ECE3_2031,SSP245_ECE3_2032,SSP245_ECE3_2033,SSP245_ECE3_2034,SSP245_MEHR_2025,SSP245_MEHR_2026,SSP245_MEHR_2027,SSP245_MEHR_2028,SSP245_MEHR_2029,SSP245_MEHR_2030,SSP245_MEHR_2031,SSP245_MEHR_2032,SSP245_MEHR_2033,SSP245_MEHR_2034
25.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
